# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,8391.420039,10.089110,0.484029,-3105.399354,6938.131672,-96.704643,30.843370
pos,8418.763743,9.172610,2.548489,-2923.628337,6915.644083,-94.731644,30.640657
pos,8453.059344,10.576700,2.328050,-2923.189643,6911.675113,-94.715729,30.604879
pos,8456.720674,7.959190,2.203780,-2913.974292,6916.825380,-94.633858,30.651306
pos,8459.289540,10.181350,0.573570,-2887.225374,6953.102380,-94.456741,30.978323
pos,8466.532426,10.156100,1.442420,-2923.192719,6910.292384,-94.711823,30.592415
pos,8491.011415,9.908450,1.385640,-2911.656966,6916.408763,-94.608391,30.647551
pos,8491.763546,10.013260,1.503080,-2924.176877,6910.378501,-94.722374,30.593191
pos,8521.976285,9.497190,2.974310,-3138.488265,6888.705103,-96.900734,30.397818
pos,8533.948614,10.131510,0.994971,-2927.301894,6912.741306,-94.761841,30.614491
pos,8536.246318,10.634430,3.287061,-3155.334217,6890.540631,-97.082382,30.414364
pos,8536.358048,9.870280,0.403950,-2923.655949,6911.235644,-94.719360,30.600918
pos,8549.286907,11.122810,2.261870,-2921.952822,6912.609486,-94.705437,30.613302
pos,8558.550750,8.435710,2.040930,-2886.602974,6961.922643,-94.475533,31.057833
pos,8576.471493,9.727710,0.852010,-2923.242426,6918.803729,-94.736626,30.669140
pos,8588.249231,10.970140,2.191750,-2919.033230,6913.272180,-94.676743,30.619276
pos,8636.631858,9.941680,0.796790,-2858.500264,6988.552704,-94.256165,31.297888
pos,8639.676821,9.865580,1.607550,-2909.650097,6920.643911,-94.599411,30.685728
pos,8695.484427,11.406040,1.776190,-2914.416066,6916.732281,-94.638222,30.650467
pos,8702.671362,10.268190,2.075159,-2915.808651,6920.669725,-94.664040,30.685961
pos,8711.713205,8.848830,0.129490,-2919.531680,6915.169914,-94.687370,30.636383
pos,8731.125823,13.149400,0.763420,-2883.068161,6965.313132,-94.448090,31.088396
pos,8738.438885,8.816210,1.137600,-2883.321606,6956.695993,-94.425995,31.010717
pos,8846.308276,9.964430,1.667870,-2903.952854,6922.998464,-94.546387,30.706953
pos,8846.624778,11.165060,0.581011,-2908.462646,6919.666586,-94.584183,30.676918
pos,8858.390354,10.068910,0.000000,-2916.496496,6918.599758,-94.665344,30.667301
pos,8886.341591,10.052600,1.446080,-2897.030250,6950.129778,-94.551285,30.951527
pos,8907.652037,12.125580,1.152580,-2910.542887,6923.442165,-94.616745,30.710953
pos,8908.713420,9.472180,0.791160,-3086.906615,6939.139043,-96.513550,30.852451
pos,8947.345628,8.853940,1.296369,-2900.620590,6933.693610,-94.541916,30.803364
pos,8960.596989,9.533870,2.407479,-2891.845738,6949.610540,-94.495300,30.946846
pos,9003.172645,12.344500,1.046150,-2912.832956,6920.063102,-94.631119,30.680492
pos,9018.734194,11.093410,1.349670,-2894.328577,6952.505066,-94.529709,30.972939
pos,9109.727935,10.139720,0.957521,-2849.645310,6997.828306,-94.189476,31.381502
pos,9176.614385,11.355020,2.044671,-2910.674710,6925.839882,-94.624969,30.732567
pos,9209.418895,9.745310,0.378280,-2895.868742,6956.388132,-94.557076,31.007942
pos,9236.963166,9.215180,0.939000,-3078.692438,6948.681245,-96.456352,30.938469
pos,9242.146284,12.041450,1.190280,-2907.513836,6925.280442,-94.590225,30.727524
pos,9265.811670,11.593410,0.655840,-3180.274632,6827.972746,-97.153679,29.850349
pos,9267.576606,10.116840,1.820580,-2892.438542,6955.952260,-94.519745,31.004013
pos,9303.999720,7.076830,1.720530,-3121.732547,6890.507835,-96.731049,30.414068
pos,9309.035220,10.867920,1.987360,-2897.194522,6943.230523,-94.533218,30.889334
pos,9315.872103,11.775550,0.624610,-2913.131684,6927.923178,-94.656693,30.751347
pos,9319.235783,9.091990,0.368040,-3071.838252,6936.143590,-96.346252,30.825449
pos,9332.356065,11.579140,1.448150,-2911.390877,6926.332882,-94.633888,30.737011
pos,9332.470201,11.149220,1.546540,-2905.750521,6924.886042,-94.570610,30.723969
pos,9333.513379,9.044280,2.602580,-3128.170807,6900.711038,-96.829231,30.506044
pos,9358.267985,11.647680,1.212840,-2903.941213,6934.523882,-94.579140,30.810848
pos,9366.597845,12.292390,1.054830,-2909.075660,6928.682780,-94.616318,30.758194
pos,9370.624030,10.863200,1.152800,-2899.614844,6929.505435,-94.519417,30.765610
pos,9399.520225,9.225010,1.044410,-2912.027935,6919.481869,-94.621025,30.675253
pos,9404.887752,9.586180,1.177061,-3078.046779,6951.753717,-96.458946,30.966166
pos,9414.734826,10.345010,0.225690,-2907.464262,6920.832013,-94.577034,30.687424
pos,9441.584790,10.043880,0.874900,-2892.660533,6959.527465,-94.532372,31.036242
pos,9448.329079,9.375270,2.124480,-2909.486161,6921.041062,-94.598824,30.689308
pos,9457.443791,10.575080,1.814570,-2893.483828,6934.045270,-94.468018,30.806534
pos,9470.155853,11.038620,3.728510,-3183.749152,6834.066907,-97.208023,29.905285
pos,9477.699541,10.294550,1.458811,-2908.547422,6921.482647,-94.590240,30.693289
pos,9496.929843,9.580990,1.539710,-2908.005341,6921.736764,-94.585281,30.695580
pos,9558.361198,10.509620,0.657140,-2876.837114,6963.788216,-94.378120,31.074650
pos,9566.091228,9.368560,1.487690,-3131.979938,6897.109596,-96.858154,30.473579
pos,9570.203239,8.666190,0.997609,-3131.968518,6885.349104,-96.822464,30.367565
pos,9584.713624,8.094180,0.783640,-3065.435478,6941.663924,-96.295738,30.875212
pos,9612.169032,9.559420,1.884790,-3123.366742,6876.624055,-96.706398,30.288914
pos,9625.070192,12.093970,1.051200,-2901.666731,6931.039660,-94.545319,30.779440
pos,9631.790195,10.536690,0.265790,-3178.878656,6827.189235,-97.136833,29.843287
pos,9691.527457,11.563580,1.285300,-2904.983180,6932.433603,-94.584099,30.792006
pos,9697.881688,9.989820,0.851489,-2902.371201,6925.070335,-94.535698,30.725630
pos,9723.572711,11.273690,0.666119,-2895.171761,6943.494373,-94.512726,30.891712
pos,9737.451526,11.040080,2.421250,-2899.367356,6930.657532,-94.520103,30.775995
pos,9779.547597,8.848590,1.033090,-3158.395059,6853.834742,-97.003380,30.083481
pos,9784.623737,11.245520,1.126280,-2892.583476,6935.605309,-94.463013,30.820597
pos,9807.852905,12.647210,0.662380,-2903.769838,6936.837810,-94.583961,30.831707
pos,9817.333324,10.086630,1.167080,-3071.052265,6961.623881,-96.415565,31.055140
pos,9824.271424,8.762500,3.165710,-3119.091229,6880.430737,-96.673164,30.323229
pos,9846.822796,12.758060,0.070811,-2866.988721,6992.956277,-94.358467,31.337584
pos,9849.711046,6.331850,2.025160,-3114.637824,6891.782018,-96.660721,30.425554
pos,9868.312838,10.254540,1.343729,-2893.287682,6940.059875,-94.483116,30.860752
pos,9890.206543,7.153380,3.178860,-2900.884459,6930.678056,-94.536079,30.776180
pos,9959.181147,8.936580,2.376350,-2882.809429,6939.865425,-94.372528,30.858999
pos,9975.872130,10.819390,2.123610,-2897.473160,6934.968006,-94.512520,30.814852
pos,9977.816998,10.191590,0.881271,-2880.452612,6952.349126,-94.383377,30.971533
pos,10011.129266,11.660940,1.459550,-2885.681808,6934.874272,-94.388489,30.814007
pos,10011.417292,11.583010,1.315620,-2893.552363,6944.855732,-94.499611,30.903984
pos,10013.360090,11.070500,0.986310,-2881.075376,6961.893444,-94.417282,31.057570
pos,10040.067676,10.083130,2.984771,-2883.722247,6961.036935,-94.442673,31.049849
pos,10047.666349,9.203470,1.434311,-2929.434078,6919.806657,-94.804390,30.678181
pos,10057.040406,9.029030,3.296090,-2884.417302,6966.961615,-94.467041,31.103256
pos,10071.367868,9.819610,1.165170,-3063.134464,6968.900820,-96.354507,31.120737
pos,10081.075396,10.058340,3.735690,-2893.903163,6939.642834,-94.488388,30.856993
pos,10082.260192,7.500100,1.695380,-2986.586651,6877.768324,-95.281761,30.299229
pos,10085.335655,11.559660,3.017810,-3192.552156,6824.696938,-97.271477,29.820820
pos,10085.749286,9.384430,2.028870,-2892.119691,6954.584343,-94.512459,30.991682
pos,10086.709140,10.270590,1.818710,-2903.319799,6934.547580,-94.572685,30.811062
pos,10093.971735,9.267080,2.336750,-3121.856584,6901.409279,-96.765282,30.512339
pos,10113.034426,8.582350,2.976591,-3122.324886,6889.369702,-96.733810,30.403809
pos,10115.957319,10.707930,1.319170,-2894.983146,6939.510803,-94.499352,30.855803
pos,10124.096407,10.246730,0.463050,-2900.903176,6934.789425,-94.548012,30.813242
pos,10128.747564,9.915350,1.744370,-2929.339418,6918.595103,-94.799927,30.667259
pos,10145.078015,6.093230,4.072170,-3121.562909,6898.893073,-96.754593,30.489656
pos,10153.838698,10.794920,1.054311,-2886.479771,6956.550420,-94.458794,31.009405
pos,10155.871241,7.142280,1.703581,-3167.344842,6845.697273,-97.072189,30.010126
pos,10158.034108,11.085110,1.405699,-2880.453866,6964.615314,-94.418564,31.082106
pos,10168.816540,11.698380,2.185180,-2890.009951,6957.915375,-94.499847,31.021709
pos,10172.759113,9.015530,1.005380,-3053.822973,6961.902119,-96.235115,31.057648
pos,10193.184792,6.927980,1.143140,-3105.079733,6922.811632,-96.654526,30.705269
pos,10199.800338,8.917470,1.091431,-3175.540088,6826.855560,-97.101143,29.840279
pos,10206.606605,10.436710,1.028940,-2881.979540,6952.972676,-94.401215,30.977154
pos,10207.436137,11.101840,1.092240,-2892.616852,6944.496455,-94.488754,30.900745
pos,10229.708491,9.312380,1.600420,-2860.164554,6988.054838,-94.272285,31.293400
pos,10234.154373,11.687610,1.289819,-2883.042405,6941.819653,-94.380539,30.876616
pos,10243.711723,9.866060,0.458681,-3186.347691,6831.044794,-97.225990,29.878042
pos,10261.160323,11.182550,1.411311,-2871.110956,6966.482156,-94.325577,31.098934
pos,10265.238523,9.627840,2.229391,-2887.753087,6941.699471,-94.429672,30.875532
pos,10281.776256,9.666970,1.947601,-3155.579344,6861.693549,-96.997635,30.154324
pos,10286.024674,10.072420,0.681670,-2903.380488,6942.068693,-94.594864,30.878860
pos,10294.039016,11.968050,0.457760,-2897.483848,6938.676088,-94.523224,30.848278
pos,10306.825741,6.776740,2.656330,-3174.594916,6833.687530,-97.111694,29.901865
pos,10307.088616,13.032050,3.133200,-2882.921399,6961.086024,-94.434387,31.050291
pos,10312.733290,9.591280,1.846819,-2873.791599,6967.505185,-94.356735,31.108156
pos,10312.878636,7.946410,2.333390,-3051.841264,6964.726821,-96.222862,31.083111
pos,10316.250878,11.106960,0.691940,-2882.295408,6938.777862,-94.364037,30.849195
pos,10337.084644,9.285020,1.125931,-3056.684092,6972.849267,-96.298668,31.156330
pos,10342.654430,11.945940,0.714159,-2886.039741,6957.195129,-94.456017,31.015217
pos,10361.453968,8.449310,1.501700,-3105.020916,6905.084777,-96.600204,30.545471
pos,10378.393297,10.695690,2.680630,-2891.223933,6949.511094,-94.488480,30.945950
pos,10387.949685,9.240530,1.363000,-3054.776561,6967.260589,-96.261490,31.105951
pos,10402.392003,12.048740,1.609340,-3192.472527,6813.583059,-97.237488,29.720634
pos,10408.270683,10.223730,1.286859,-2858.979043,6993.386859,-94.275177,31.341465
pos,10412.233218,6.942080,3.198420,-3104.283938,6905.398562,-96.593437,30.548300
pos,10418.105658,8.970300,1.317650,-3006.661495,6994.113453,-95.836105,31.348015
pos,10430.358994,9.169330,2.672070,-3162.217889,6843.573140,-97.012466,29.990978
pos,10445.452938,10.078910,1.068970,-2933.224121,6918.269892,-94.839706,30.664328
pos,10449.641232,11.227010,1.209641,-2893.300260,6943.571180,-94.493286,30.892405
pos,10457.202331,10.164490,2.109870,-3163.666670,6832.641438,-96.994942,29.892435
pos,10477.528992,9.626710,1.903220,-3177.306665,6828.748428,-97.125145,29.857342
pos,10482.382525,9.074580,0.695490,-2874.690835,6963.729183,-94.355362,31.074118
pos,10483.501291,9.442390,0.842181,-3051.378561,6961.642501,-96.208603,31.055307
pos,10488.963221,9.752990,0.943830,-2929.735869,6918.319192,-94.803291,30.664772
pos,10501.937221,8.624440,1.399220,-2882.462008,6938.538344,-94.365105,30.847036
pos,10502.401469,8.941660,0.573630,-2933.293186,6919.174643,-94.843025,30.672483
pos,10504.608855,8.165250,1.636750,-3049.125084,6968.341381,-96.205284,31.115694
pos,10510.171721,9.669320,1.027050,-2928.547449,6918.533531,-94.791451,30.666704
pos,10511.399531,9.124570,2.377779,-2873.813964,6966.150598,-94.353081,31.095945
pos,10540.783528,8.412360,0.000000,-2870.549853,6971.226174,-94.333290,31.141699
pos,10556.602368,9.218300,2.589370,-2922.504912,6929.513052,-94.759575,30.765678
pos,10559.854285,10.077950,1.531439,-3090.944269,6884.761312,-96.392097,30.362267
pos,10596.573801,9.812740,1.349700,-2918.223251,6930.871025,-94.718552,30.777920
pos,10609.166701,10.080620,2.194960,-2881.056710,6965.759160,-94.428200,31.092417
pos,10615.966693,9.610040,2.055510,-2896.309733,6945.944353,-94.531700,30.913797
pos,10628.857806,9.468410,0.669370,-2871.706431,6969.767274,-94.341278,31.128548
pos,10666.444590,7.190490,0.690790,-3118.217744,6882.427495,-96.670029,30.341228
pos,10671.486530,10.707090,2.864800,-2879.966996,6956.021027,-94.388779,31.004633
pos,10693.592933,8.686960,1.654370,-2988.113763,6877.478871,-95.296875,30.296619
pos,10702.587650,9.667270,1.674240,-3106.783770,6904.439010,-96.616707,30.539650
pos,10705.867436,10.217650,2.042920,-2883.529958,6950.537085,-94.410545,30.955198
pos,10720.555906,10.621690,0.640170,-2894.475386,6952.034283,-94.529900,30.968695
pos,10732.852684,9.740590,1.125601,-2953.575908,6870.393630,-94.916237,30.232750
pos,10737.694218,10.608430,1.145261,-2926.175953,6922.819038,-94.778870,30.705336
pos,10742.000792,11.403420,0.834390,-2923.202649,6921.579554,-94.744148,30.694162
pos,10749.457784,8.193830,1.355760,-2988.725259,6879.295355,-95.308472,30.312994
pos,10750.812514,10.421430,0.000000,-2880.627874,6945.732341,-94.366325,30.911886
pos,10758.335351,8.796110,1.534649,-3105.641378,6920.993243,-96.654884,30.688877
pos,10765.664137,11.680040,0.368260,-2890.178870,6945.526466,-94.466087,30.910030
pos,10778.045739,3.445440,2.407310,-2983.041744,6885.769106,-95.267700,30.371351
pos,10801.351400,6.764190,2.653190,-3101.164840,6906.687345,-96.564674,30.559917
pos,10809.195951,12.011230,1.352090,-2870.065519,6978.535487,-94.349228,31.207588
pos,10815.404153,7.985870,2.975649,-2981.276197,6888.763290,-95.257858,30.398342
pos,10816.440713,9.346130,2.402640,-2915.647663,6937.482943,-94.710510,30.837523
pos,10825.908231,8.665220,0.361511,-2983.211301,6905.942767,-95.327713,30.553205
pos,10829.814583,9.004020,0.885290,-3093.493929,6891.846341,-96.439873,30.426134
pos,10830.853161,11.044140,1.686271,-2880.193342,6952.851436,-94.382088,30.976061
pos,10832.070483,8.049910,1.361130,-3044.921905,6983.197832,-96.206413,31.249617
pos,10835.279208,8.020770,2.244490,-3083.331267,6890.850607,-96.330666,30.417158
pos,10851.729699,9.797190,1.404579,-3045.856440,6963.120021,-96.154984,31.068626
pos,10854.526647,8.828520,0.459391,-2934.416478,6921.207159,-94.860634,30.690805
pos,10855.168401,12.925710,0.381880,-2871.052605,6964.700796,-94.319855,31.082876
pos,10872.100630,9.516320,0.898960,-2981.310854,6889.117489,-95.259239,30.401535
pos,10884.070163,9.305080,2.246720,-2950.780046,6868.548159,-94.881859,30.216114
pos,10884.800492,9.413740,0.645939,-2983.139319,6906.215715,-95.327751,30.555666
pos,10893.395172,9.125890,0.703080,-2962.649379,6923.272048,-95.162582,30.709419
pos,10901.932240,9.449480,2.942380,-2917.731371,6933.049324,-94.719643,30.797556
pos,10902.236639,8.694540,3.261300,-2921.202626,6933.949420,-94.758659,30.805670
pos,10908.484953,11.096070,1.710410,-2921.390506,6924.812621,-94.734406,30.723307
pos,10908.708629,9.238600,1.470570,-3162.826643,6849.556853,-97.036713,30.044918
pos,10909.948048,9.853150,1.670989,-2981.045476,6907.712702,-95.310173,30.569160
pos,10909.964045,9.962860,1.621239,-2950.497084,6872.502106,-94.890068,30.251757
pos,10915.634386,9.050700,0.267640,-3035.288665,6976.645370,-96.084846,31.190550
pos,10918.705374,8.871280,1.664899,-2985.835947,6883.485224,-95.290329,30.350763
pos,10922.783864,8.116550,2.731000,-2911.591999,6938.423240,-94.670631,30.845999
pos,10925.291971,8.822110,1.694729,-3149.886756,6840.228989,-96.874176,29.960833
pos,10934.594286,10.759230,1.395489,-2949.847307,6872.120613,-94.882210,30.248318
pos,10937.025357,8.883630,2.594040,-3172.564665,6822.625913,-97.057648,29.802151
pos,10941.201909,9.815820,1.059910,-2980.935242,6908.278912,-95.310661,30.574265
pos,10948.367586,8.942220,0.782530,-2984.236352,6883.562665,-95.273842,30.351461
pos,10949.908036,9.110600,1.456570,-2918.917979,6933.489639,-94.733360,30.801525
pos,10955.485318,9.622450,2.194720,-2947.754240,6874.497806,-94.867081,30.269747
pos,10960.871139,7.269750,0.539630,-3115.702512,6903.004019,-96.705711,30.526714
pos,10962.620301,11.795280,1.542800,-2872.947912,6966.775206,-94.345757,31.101576
pos,10964.913267,9.169130,1.730860,-2983.818577,6885.902195,-95.276199,30.372551
pos,10973.218581,8.558430,1.344950,-2985.282542,6883.994305,-95.286011,30.355352
pos,10973.925138,11.180280,2.456050,-3193.733713,6806.085856,-97.228294,29.653051
pos,10977.915670,10.172050,1.801740,-2947.436316,6877.407143,-94.871986,30.295973
pos,10985.071045,10.014150,0.937949,-2930.771654,6924.664086,-94.832352,30.721968
pos,10985.268912,10.966350,0.883530,-3170.525689,6821.713968,-97.033760,29.793930
pos,10991.647437,9.491300,1.564610,-2984.661266,6886.363669,-95.286331,30.376711
pos,10992.088945,8.992190,0.892880,-2985.654240,6881.540094,-95.282845,30.333229
pos,10997.450397,10.162510,2.089620,-2918.453469,6929.510301,-94.717064,30.765654
pos,11004.325216,8.549820,0.726050,-2985.142543,6885.734617,-95.289551,30.371040
pos,11004.341477,10.725150,1.347460,-2948.840038,6873.035732,-94.874283,30.256567
pos,11008.079934,10.209900,1.271310,-2978.642977,6908.699337,-95.287880,30.578054
pos,11012.397537,10.023610,1.117210,-2888.122437,6942.930491,-94.437065,30.886629
pos,11014.082792,10.021430,1.431150,-2945.411952,6878.093111,-94.852791,30.302156
pos,11014.756205,10.592260,0.670950,-2930.485024,6925.160472,-94.830772,30.726442
pos,11016.727923,8.522000,1.404260,-3040.051604,6971.820525,-96.120331,31.147057
pos,11025.552056,6.228230,2.394380,-2980.058903,6906.354094,-95.295906,30.556913
pos,11031.112725,10.344900,1.669550,-2944.803392,6879.592637,-94.850677,30.315674
pos,11034.600190,10.306220,2.424950,-2881.045680,6951.836236,-94.388145,30.966909
pos,11036.775471,9.562190,0.646380,-3038.631997,6977.116153,-96.121513,31.194794
pos,11037.405255,8.618780,2.244270,-3157.647096,6833.848125,-96.935936,29.903313
pos,11041.731690,9.907760,2.562311,-2916.425840,6934.465061,-94.710007,30.810318
pos,11042.263901,11.212280,2.327180,-2916.656246,6927.891863,-94.693573,30.751064
pos,11045.587495,11.245910,3.027939,-2853.644843,6998.895768,-94.234795,31.391125
pos,11050.024771,9.676690,1.220760,-2977.930905,6891.435014,-95.230576,30.422426
pos,11053.755787,8.454080,1.124280,-3129.658851,6889.680313,-96.811401,30.406609
pos,11058.662747,10.925190,1.934989,-2918.301869,6927.672235,-94.710205,30.749084
pos,11061.165747,8.822110,2.091779,-3092.575760,6908.252886,-96.479469,30.574030
