# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,20350.247858,9.112060,1.276820,-10.790670,111.973532,-95.483208,30.769379
pos,20352.528465,8.623600,0.156570,-53.500168,51.476248,-95.928146,30.224030
pos,20428.751824,13.431630,0.000000,-117.366910,52.641676,-96.594574,30.234535
pos,20456.927339,8.801450,1.148050,-14.234063,105.394621,-95.519241,30.710073
pos,20502.308906,10.326510,0.399721,-16.497410,118.834700,-95.543190,30.831228
pos,20513.863867,11.576560,0.033811,-117.984627,46.226958,-96.600296,30.176710
pos,20565.167596,10.333630,0.688010,-24.481210,154.996385,-95.627884,31.157206
pos,20570.863446,10.042280,1.153810,-21.579966,107.122239,-95.596298,30.725647
pos,20614.041590,10.920480,0.771460,-120.782997,66.874152,-96.631866,30.362833
pos,20674.809660,10.729610,0.000000,-10.816313,104.595664,-95.483398,30.702871
pos,20799.321050,11.942470,0.215400,3.037687,138.610787,-95.338051,31.009499
pos,20827.000532,10.056780,0.494819,-36.996568,79.420906,-95.756966,30.475935
pos,20832.468860,8.978920,0.602360,-52.820465,56.973943,-95.921333,30.273588
pos,20862.320213,10.065770,0.886811,-17.248033,94.991255,-95.550667,30.616293
pos,20869.560652,8.393820,0.129239,-48.857563,93.917445,-95.881714,30.606613
pos,20895.066474,11.602390,0.000000,-120.470270,55.944990,-96.627335,30.264313
pos,20896.151606,10.595500,1.253430,2.125575,125.593038,-95.347672,30.892151
pos,20912.311627,9.862730,0.000649,-8.299180,128.815102,-95.457207,30.921196
pos,20915.368991,7.624580,0.000000,-31.168633,89.456744,-95.696312,30.566402
pos,20921.609942,10.051730,1.164439,-103.046855,72.261821,-96.447105,30.411400
pos,20941.287152,9.776810,0.812910,-29.421196,75.250293,-95.677612,30.438339
pos,21006.380221,10.698550,1.532040,-111.480222,69.136241,-96.534920,30.383224
pos,21047.636440,8.809690,0.760949,-54.309991,58.901723,-95.936981,30.290966
pos,21094.140009,9.225370,1.458470,-15.877848,97.536872,-95.536354,30.639240
pos,21136.261497,11.269350,0.598980,14.238653,141.717959,-95.220200,31.037508
pos,21147.866274,8.318400,1.601670,-23.283572,82.058988,-95.613594,30.499716
pos,21149.185472,9.859960,0.690320,4.461871,115.581956,-95.323174,30.801907
pos,21155.672104,10.491880,0.659970,-103.627504,45.518772,-96.450516,30.170326
pos,21242.578920,10.305640,0.336771,-7.249494,103.934663,-95.445999,30.696913
pos,21246.066651,9.768500,0.999130,-117.560468,56.253909,-96.597000,30.267097
pos,21247.120988,9.357770,0.322530,-18.690158,95.854112,-95.565788,30.624071
